Bachelor of (Arts|Laws|Science|Engineering|Divinity)	DEGREE
[0-9]{2}-[0-9]{2}-[0-9]{2}	DATE
dictionary	TOEFL
abacus	TOEFL
abate	TOEFL
abdication	TOEFL
aberration	TOEFL
abet	TOEFL
abeyance	TOEFL
abhor	TOEFL
abide	TOEFL
abjure	TOEFL
abraded	TOEFL
abrogate	TOEFL
abscond	TOEFL
abstruse	TOEFL
abut	TOEFL
abysmal	TOEFL
acarpous	TOEFL
acclaimed	TOEFL
accolade	TOEFL
accretion	TOEFL
adamant	TOEFL
admonitory	TOEFL
adorn	TOEFL
adulteration	TOEFL
affable	TOEFL
affinity	TOEFL
aggravate	TOEFL
agile	TOEFL
agog	TOEFL
ail	TOEFL
alacrity	TOEFL
alcove	TOEFL
allegiance	TOEFL
alleviate	TOEFL
alloy	TOEFL
aloof	TOEFL
amalgamate	TOEFL
ambidextrous	TOEFL
ambiguous	TOEFL
ambivalent	TOEFL
ameliorate	TOEFL
amortize	TOEFL
anguish	TOEFL
animosity	TOEFL
antidote	TOEFL
antithetical	TOEFL
apartheid	TOEFL
aplomb	TOEFL
apostate	TOEFL
apotheosis	TOEFL
appease	TOEFL
apprehensive	TOEFL
apprise	TOEFL
approbation	TOEFL
apropos	TOEFL
apt	TOEFL
arabesque	TOEFL
arboreal	TOEFL
ardor	TOEFL
arduous	TOEFL
argot	TOEFL
arrant	TOEFL
arrogance	TOEFL
articulate	TOEFL
ascend	TOEFL
ascertain	TOEFL
ascetic	TOEFL
ascribe	TOEFL
aseptic	TOEFL
asperity	TOEFL
aspersion	TOEFL
assail	TOEFL
assiduous	TOEFL
assuage	TOEFL
asterisk	TOEFL
astringent	TOEFL
astute	TOEFL
atonement	TOEFL
attenuate	TOEFL
attune	TOEFL
audacious	TOEFL
augury	TOEFL
august	TOEFL
auspicious	TOEFL
austere	TOEFL
auxiliary	TOEFL
aver	TOEFL
aversion	TOEFL
avid	TOEFL
avow	TOEFL
baleful	TOEFL
balk	TOEFL
baneful	TOEFL
barrage	TOEFL
barren	TOEFL
bask	TOEFL
beatify	TOEFL
bedizen	TOEFL
belabor	TOEFL
bellicose	TOEFL
belligerent	TOEFL
benefactor	TOEFL
benevolence	TOEFL
benign	TOEFL
bequest	TOEFL
berate	TOEFL
bereft	TOEFL
bewilder	TOEFL
bigot	TOEFL
bilge	TOEFL
blandishment	TOEFL
blandness	TOEFL
blatant	TOEFL
blithe	TOEFL
bogus	TOEFL
boisterous	TOEFL
bolster	TOEFL
boorish	TOEFL
brash	TOEFL
brass	TOEFL
brazen	TOEFL
breach	TOEFL
brittle	TOEFL
broach	TOEFL
brook	TOEFL
buoyant	TOEFL
burgeon	TOEFL
burnish	TOEFL
cabal	TOEFL
cadge	TOEFL
cajole	TOEFL
calipers	TOEFL
calumny	TOEFL
candid	TOEFL
cant	TOEFL
cantankerous	TOEFL
canvass	TOEFL
castigate	TOEFL
castigation	TOEFL
catalyst	TOEFL
caustic	TOEFL
censure	TOEFL
centurion	TOEFL
chary	TOEFL
chastened	TOEFL
chastisement	TOEFL
chauvinist	TOEFL
chicanery	TOEFL
chisel	TOEFL
churl	TOEFL
clamor	TOEFL
clientele	TOEFL
clinch	TOEFL
cling	TOEFL
clot	TOEFL
cloture	TOEFL
coagulation	TOEFL
coalescing	TOEFL
coax	TOEFL
coda	TOEFL
coddle	TOEFL
coerce	TOEFL
coeval	TOEFL
cogent	TOEFL
cogitate	TOEFL
cognizant	TOEFL
colander	TOEFL
collusion	TOEFL
combustion	TOEFL
commemorate	TOEFL
commodious	TOEFL
commuter	TOEFL
complaisance	TOEFL
compunction	TOEFL
conceal	TOEFL
conceit	TOEFL
conciliatory	TOEFL
concord	TOEFL
concur	TOEFL
condense	TOEFL
condone	TOEFL
congeal	TOEFL
conjoin	TOEFL
connoisseur	TOEFL
connotation	TOEFL
consequential	TOEFL
console	TOEFL
conspicuous	TOEFL
consternation	TOEFL
constrain	TOEFL
constrict	TOEFL
consume	TOEFL
consummate	TOEFL
contemn	TOEFL
contentious	TOEFL
contiguous	TOEFL
contrite	TOEFL
contumacious	TOEFL
conundrum	TOEFL
conviction	TOEFL
convoke	TOEFL
convoluted	TOEFL
cordial	TOEFL
cordon	TOEFL
cornucopia	TOEFL
corporeal	TOEFL
correlate	TOEFL
corroboration	TOEFL
countenance	TOEFL
counterfeit	TOEFL
countervail	TOEFL
covert	TOEFL
covetous	TOEFL
cower	TOEFL
coy	TOEFL
crass	TOEFL
cravat	TOEFL
craven	TOEFL
crease	TOEFL
credulity	TOEFL
credulous	TOEFL
crush	TOEFL
cryptic	TOEFL
cumbersome	TOEFL
curmudgeon	TOEFL
curriculum	TOEFL
cursory	TOEFL
curtail	TOEFL
dainty	TOEFL
daunt	TOEFL
dawdler	TOEFL
dearth	TOEFL
debacle	TOEFL
decorum	TOEFL
decree	TOEFL
decry	TOEFL
defer	TOEFL
deferential	TOEFL
defiance	TOEFL
delineate	TOEFL
deluge	TOEFL
demagogue	TOEFL
demur	TOEFL
denigrate	TOEFL
denouement	TOEFL
deplete	TOEFL
deposition	TOEFL
deprave	TOEFL
deprecate	TOEFL
dereliction	TOEFL
derision	TOEFL
derivative	TOEFL
derogatory	TOEFL
descry	TOEFL
desiccant	TOEFL
desuetude	TOEFL
desultory	TOEFL
deter	TOEFL
detraction	TOEFL
detumescence	TOEFL
deviance	TOEFL
dexterity	TOEFL
diaphanous	TOEFL
diatribe	TOEFL
diffidence	TOEFL
dilate	TOEFL
disallow	TOEFL
discern	TOEFL
discomfit	TOEFL
disconcert	TOEFL
discountenance	TOEFL
discourse	TOEFL
discredit	TOEFL
discreet	TOEFL
discrete	TOEFL
disdain	TOEFL
disencumber	TOEFL
disheveled	TOEFL
disingenuous	TOEFL
disinter	TOEFL
dislodge	TOEFL
dismal	TOEFL
disparate	TOEFL
disproof	TOEFL
dissemble	TOEFL
disseminate	TOEFL
dissent	TOEFL
dissolution	TOEFL
distraught	TOEFL
divergence	TOEFL
divestiture	TOEFL
divulge	TOEFL
doggerel	TOEFL
dogmatic	TOEFL
dolt	TOEFL
dormant	TOEFL
dote	TOEFL
drawl	TOEFL
droll	TOEFL
drone	TOEFL
drowsiness	TOEFL
dubious	TOEFL
dud	TOEFL
dulcet	TOEFL
dupe	TOEFL
duplicity	TOEFL
duress	TOEFL
dwarf	TOEFL
dynamo	TOEFL
earthenware	TOEFL
ebullience	TOEFL
ebullient	TOEFL
ecumenical	TOEFL
edacious	TOEFL
eddy	TOEFL
edible	TOEFL
effete	TOEFL
efficacy	TOEFL
effluvia	TOEFL
effrontery	TOEFL
egress	TOEFL
elaborate	TOEFL
elegy	TOEFL
elicit	TOEFL
eloquence	TOEFL
emaciate	TOEFL
